명칭,전화번호,주소,개요,규모,수용 가능 인원,객실 수,객실 유형,주차 가능,조리 가능,체크인,체크아웃,예약 안내,예약안내 홈페이지,픽업서비스,식음료장
아몬드호텔 [한국관광 품질인증/Korea Quality],051-469-1918/ 051-469-1919,부산광역시 동구 중앙대로196번길 12-5,아몬드호텔은 부산역에서 도보 5분 이내 거리/ 부산항 국제여객터미널과도 1km 거리에 자리한 호텔로/ 대중교통이 편리해 출장객의 선호도가 높다. 객실은 온돌형과 침실형으로 나뉘는데/ 전반적으로 넓고 프리미엄 패밀리의 일부 객실을 제외하면 모든 방에 너른 욕조가 딸려 있다. 복사/ 인쇄/ 팩스 대행 및 짐 보관 서비스를 제공한다. 인근에 초량이바구길/ 용두산공원/ 보수동 책방골목/ 자갈치시장 등 주요 관광지가 있다.,건물 지하 1층-지상 8층,150,77,양실,가능,불가,15:00,12:00,nan,http://www.almondhotel.co.kr/pension/reserve_guide.html?pid=24,불가,있음
신라스테이 동탄,nan,경기도 화성시 노작로 161,신라스테이 동탄이 위치한 동탄 신도시는 첨단 IT산업과 주거/ 교육/ 문화기능이 조화된 도시로 복합쇼핑몰/ 백화점 등 다양한 쇼핑 시설과 근접하며 놀이공원/ 박물관 등 관광지로의 접근성이 좋다. 또한 서울과 수도권 전역을 잇는 편리한 교통망을 구축하고 있다.,지상 29층,nan,286실,스탠다드/ 프리미어 스탠다드/ 디럭스/ 프리미어 디럭스,nan,불가,15:00,익일 12:00,02-2230-0700,"<a href=""http://www.shillastay.com/dongtan"" target=""_blank"" title=""새창: 신라스테이 동탄 홈페이지로 이동"">http://www.shillastay.com/dongtan</a>",nan,뷔페 레스토랑/ 라운지&바
펠릭스바이STX[한국관광 품질인증/Korea Quality],051-969-5016,부산광역시 해운대구 해운대로 620 해운대 라뮤에뜨,부산 해운대에 위치한 펠릭스바이에스티엑스는 STX 서비스에서 운영하는 라이프스타일 호텔로/ 지하철 해운대역 5번 출구과 연결되어 있어 뛰어난 접근성과 편리한 교통환경을 갖추고 있다. 객실은 다양한 크기의 스튜디오 타입과 스위트 타입으로 구성되어 있다. 비즈니스 출장객 및 여행객 모두가 편안하게 머물 수 있도록 객실마다 취사 가능한 주방과 테이블/ 업무용 데스크/ 세탁기 등 편의용품을 갖췄다.,지하 5층~지상 42층(대지면적 4/314.2m²),888,352,양실,가능,가능,15:00,11:00,가능(051-969-5000/ https://be4.wingsbooking.com/STX3/roomSelect?rooms=1&check_in),https://be4.wingsbooking.com/STX3/roomSelect?rooms=1&check_in,불가,있음
라마다 바이 윈덤 구미 호텔[한국관광 품질인증/Korea Quality],054-479-9080,경상북도 구미시 인동중앙로3길 41 라마다 구미 호텔(황상동),라마다 바이 윈덤 구미 호텔은 구미시 인동동 번화가 중심지에 위치하는 특급호텔이다. 구미국가산업단지나 KTX 역과 가까워 출장객이 많이 방문하고/ 수준급 서비스를 합리적인 가격에 제공해 여행이나 호캉스 장소로도 인기다. 객실은 스탠다드/ 할리우드/ 패밀리/ 디럭스/ 스위트 등 다양한 타입을 구비하고 있어 이용객의 상황에 맞게 선택할 수 있다. 비즈니스 센터와 피트니스센터/ 편의점이 있고/ 14층에는 라운지가 자리한다.,지하 2층~지상 14층,440,210,양실,가능,불가,15:00,12:00,가능(054-479-9000/ https://be4.wingsbooking.com/RGM1 ),https://be4.wingsbooking.com/RGM1,불가,있음
금강평 민박,nan,강원특별자치도 평창군 봉평면 흥정계곡길 374-9,흥정계곡 바로 앞이라 젖은 옷을 입고도 돌아다니기 용이함 단골들에겐 최고로 불린다.,nan,nan,7실,1-7호실,있음,불가,12시30분,12시,010-7599-6333,"<a href=""http://www.033-335-3334.kti114.net"" target=""_blank"" title=""새창 : 금강평 민박 홈페이지로 이동"">http://www.033-335-3334.kti114.net</a>",없음,없음
뉴라온스테이[한국관광 품질인증/Korea Quality],055-751-1111,경상남도 진주시 영천강로 166 라온 스테이 인 페를라 2차(충무공동),경남진주혁신도시에 위치한 뉴라온스테이는 비즈니스 호텔이자/ 문화가 있는 호텔이라는 컨셉트에 맞춰 호텔 곳곳에 미술작품과 공예품을 비치하여 예술적인 휴식을 누릴 수 있게 하였다. 객실은 총 105개로/ 스탠다드/ 한실/ 스위트 등 다양한 타입으로 구성되어 있다. 라온 스위트에는 바비큐와 제트스파를 즐길 수 있는 전용 테라스가 딸려 있어 차별화된 휴식을 선사한다. 호텔 2층 더테이블에서는 조식과 중식을 뷔페식으로 제공한다.,건물 지하 4층/ 지상 14층,240,105,양실,가능,부분가능,15:00,11:00,가능(055-751-1111/ www.newraonstay.com),www.newraonstay.com,불가,있음
주식회사제이스퀘어호텔[한국관광 품질인증/Korea Quality],055-749-0022,경상남도 진주시 솔밭로 107(상대동),제이스퀘어호텔은 진주시청 맞은편에 자리한 호텔로/ 저층은 웨딩홀과 연회장으로/ 5층 이상은 호텔로 구성되어 있다. 다양한 타입의 객실로 구성되어 있어 이용자 편의에 맞게 선택하기에 좋다. 스탠다드 객실 공간이 넓고 쾌적하며/ 객실 바닥도 강화마루로 마감하여 집처럼 편안하게 머물 수 있다. 조식을 먹을 수 있는 6층 라운지/ 카페/ 사우나/ 피트니스 센터 등 부대시설도 갖춰 이용에 편리하다.,건물 지하 3층~ 지상 10층(지상2층~4층은 웨딩홀 및 연회장으로 운영 중),160,72,한실/ 양실,가능,불가,15:00,11:00,가능(055-749-0022/ http://www.jsquarehotel.com/reserve.php),http://www.jsquarehotel.com/reserve.php,불가,있음
스테이 앤드 스튜디오 여여재[한국관광 품질인증/Korea Quality],010-3223-1183,충청남도 태안군 몽대로 448,스테이 앤드 스튜디오 여여재는 태안 몽산포항에서 1km 거리에 있는 붉은 벽돌의 복층 펜션이다. 객실은 5개로 바다 전망에 복층 구조 객실과 애견 동반 객실로 구성된다. 객실 테라스에서 고요하게 밀려오는 바다를 감상하며 안락하게 쉴 수 있고/ 일부 객실은 넓은 발코니가 딸려 있어 글램핑도 가능하다. 도보 10분 거리에 몽산포 해수욕장이 있어 산책하며 일몰을 감상하기에 좋고/ 바비큐장에서 바비큐를 즐겨도 좋다.,대지 면적 1/322m²/ 건물 면적 364m²,22,5,양실,가능,가능,15:00,11:00,가능(010-3223-1183/ http://yeoyeojae.com/default/reservation/01.php?top=5&sub=0 ),http://yeoyeojae.com/default/reservation/01.php?top=5&sub=0,불가,있음
화담재[한국관광 품질인증/Korea Quality],010-9566-8890,전라남도 강진군 달빛한옥길 3,화담재는 전남 강진 달빛한옥마을 입구에 자리한 한옥 펜션으로/ 반려동물과 함께 머물 수 있다. 총 4개의 아늑한 방은 2~3명이 머물기 적당하다. 그중 달빛 황토방은 구들장 객실로 온몸의 피로가 사르르 풀려 가을부터 초봄까지 인기가 많고/ 달빛 마루방은 방 전체를 편백으로 마감해 하루만 자도 편백향 덕분에 머리가 맑아지는 기분이다. 마당 한편의 크고 작은 장독대가 정겹고 각종 전통놀이를 즐길 수 있다.,nan,20,4,한실,가능,부분가능,16:00,11:00,가능(010-9566-8890/ https://blog.naver.com/seoys1992/222483852309 ),https://blog.naver.com/seoys1992/222483852309,불가,있음
호텔케니여수[한국관광 품질인증/Korea Quality],061-924-5000,전라남도 여수시 충무로 54-2(충무동),전남 여수에 위치한 호텔케니여수는 엑스포역에서 차량 5분/ 이순신 광장에서 도보 5분 거리에 있어 접근성이 좋은 숙소다. 합리적인 가격으로 가성비가 좋고 객실에서 시티/오션 전망을 감상할 수 있다. 18층 알프키친에서 조식을 먹을 수 있고/ 19층 루프탑에서는 여수 시내 풍경 및 밤바다 야경을 즐길 수 있다. 이곳은 특히 해마다 개최되는 불꽃축제 명당으로 인기가 좋다. 인근에 케이블카/ 해양공원 등 주요 관광지가 있다.,건물 지하 2층/ 지상 2~19층,335,178,양실,가능,불가,15:00,11:00,가능(061-924-5000/ https://be4.wingsbooking.com/HKYS),https://be4.wingsbooking.com/HKYS,불가,있음
호텔청담[한국관광 품질인증/Korea Quality],010-5474-5266,전라남도 목포시 비파로124번길 6(상동),호텔청담은 전남 목포종합버스터미널에 인근에 위치해 접근성이 좋은 숙소다. 객실은 침대룸/ 온돌룸/ 특실/ VIP 단체 가족파티룸 등 다양한 형태로 나뉘고/ 전 객실에 킹사이즈 침대/ 55인치 스마트 TV/ 넷플릭스 등을 갖춘 것이 매력 포인트다. 온돌룸은 매트리스 2개와 소파가 놓여 있고/ 특실 B룸에는 침대와 컴퓨터가 2개씩 놓여 있다. VIP 단체 가족파티룸은 넓은 거실을 중심으로 2개의 침실과 1개의 온돌방/ 2개의 화장실로 구성되어 있다.,건물 지하 1층/ 지상 8층,90,40,한실/ 양실,가능,부분가능,16:00,12:00,가능(061-285-6969 / https://mp1.modoo.at/),https://mp1.modoo.at/,불가,있음
서울한옥스테이(jnpstay)[한국관광 품질인증/Korea Quality],010-5720-6800,서울특별시 종로구 자하문로1나길 7-28(체부동),서울한옥스테이는 jnpstay는 서울 경복궁역에서 도보 3분거리에 있는 독채 한옥 스테이로 프리이빗한 공간을 제공한다. 마당에서는 제기차기/ 윳놀이/ 투호놀이 등 전통 놀이를 즐길 수 있고/ 테이블을 펴고 즐기는 바비큐는 한옥에서의 특별함을 더해 준다. 마당에서 하늘을 올려다 보고 살랑살랑 불어오는 바람을 느끼며 처마에서 떨어지는 빗방울을 바라보는 비멍이 바로 이곳에서 가능하다.,단층건물/ 대지 면적 106m²,5,1,한실,가능,가능,16:00,11:00,가능(0507-1309-6800/ https://blog.naver.com/jnpstay),https://blog.naver.com/jnpstay,불가,없음
쉬리펜션[한국관광 품질인증/Korea Quality],010-4583-8255,전라남도 구례군 섬진강대로 4310-46 쉬리팬션,쉬리펜션은 피아골 계곡과 섬진강을 바라보며 지리산으로 둘러쌓여 아름다운 자연과 풍경을 즐길 수 있는 복층 펜션으로 총 6개의 객실로 구성되어 있다. 그 중 푸르지오와 해비치 객실은 독채로 독립되어 있고/ 해비치 객실에는 노천탕욕조가 있다. 객실 앞에 모두 개별 텐트가 설치되어 캠핑 감성의 독립된 개별 바비큐를 즐길 수 있는 것 또한 큰 매력이다. 넓은 테라스에서 만끽하는 확 트인 전망이 힐링을 선물한다.,대지 면적 2/479.33m²,30,6,한실/ 양실,가능,가능,15:00,11:00,가능(010-4583-8255/ http://www.shiri.co.kr/theme/basic/reservation.php),http://www.shiri.co.kr/theme/basic/reservation.php,가능,있음
영암연희한옥펜션[한국관광 품질인증/Korea Quality],010-4725-3311,전라남도 영암군 왕인로 690-17,전남 영암군 군서면에 위치한 영암연희한옥펜션은 월출산국립공원을 병풍처럼 두른 한옥 게스트하우스로/ 새소리/ 노을/ 은하수를 감상하며 한옥 정취를 만끽할 수 있다. 객실은 총 5개로/ 2인용 한옥 온돌방은 취사가 가능한 주방이 따로 분리된 원룸형 구조이고 내부에 화장실이 있어 편리하다. 6인용 독채형 객실 역시 주방이 따로 분리된 구조로/ 내부에 화장실이 있다. 야외 바비큐장이 있고/ 사전 문의 시 반려견 동반 투숙이 가능하다.,대지면적 991.73m²/ 건물면적 198.35m²,24,5,한실,가능,가능,15:00,11:00,가능(010-4725-3311/ https://site.onda.me/122617/reservations),https://site.onda.me/122617/reservations,불가,있음
AT비지니스호텔[한국관광 품질인증/Korea Quality],055-266-3600,경상남도 창원시 성산구 용지로 102 개나리종합상가,AT비지니스호텔은 경남 창원시청에서 도보 10분 거리에 있는 비즈니스호텔이다. 공용 컴퓨터와 프린터를 무료로 쓸 수 있는 비즈니스존/ 공용 스타일러/ 장기 출장객을 위한 세탁실을 갖춰 출장자의 편의성을 높였다. 객실은 총 26개로 다양한 타입이 구비되어 있고/ 깔끔한 디자인이 돋보인다. 넷플릭스와 유튜브를 무료로 보며 긴장을 풀고 달콤한 휴식을 취할 수 있다.,nan,50,26,양실,가능,불가,12:00,14:00,가능(055-266-3600),http://www.athotel.kr,가능,없음
코너레지던스호텔[한국관광 품질인증/Korea Quality],061-555-0179,전라남도 완도군 개포로 179,전남 완도군에 위치한 코너네지던스호텔은 완도공용버스터미널이 도보 8분/ 완도항이 차로 5분 거리에 있어 교통이 편리하다. 객실은 스탠다드/ 디럭스/ 스위트/ 로얄 및 단층과 복층 등 다양한 타입으로 구성된다. 객실마다 인덕션과 전자레인지가 있어 간단한 요리가 가능하고/ 세탁기와 공기청정기 등을 갖춰 편의성을 높였다. 호텔 1층 코너179 카페&디저트가 자리힌다.,건물 지상 3층,40,11,양실,가능,가능,16:00,11:00,가능(061-555-0179/ https://www.koner179.com/reservation ),https://www.koner179.com/reservation,불가,있음
스테이가진[한국관광 품질인증/Korea Quality],033-631-5455,강원특별자치도 고성군 가진해변길 168,강원도 고성군 가진 해변길에 위치한 스테이가진은 객실 모두 동해 바다 전망을 품은 펜션이다. 밤이면 파도 소리를 들으며 조용하게 잠들 수 있고/ 아침이면 눈부신 동해 일출을 감상할 수 있다. 1층에는 4인실 1개/ 2층에는 2인실 4개 객실이 있고/ 3층 객실은 가장 인기 있는 복층이다. 모든 객실에서 취사가 가능하고/ 바다를 바라보며 반신욕을 즐길 수 있도록 개별 욕조를 갖췄다. 도로 건너편 작은 해변을 전용 해변처럼 이용할 수 있다.,건물 지상 3층(대지 면적 495.87m²),28,9,양실,가능,가능,15:00,11:00,가능(033-631-5455/ http://staygajin.co.kr/ ),http://staygajin.co.kr/,가능,있음
가평미라몬티풀빌라펜션[한국관광 품질인증/Korea Quality],nan,경기도 가평군 가화로 1364-59,경기도 가평군 북면에 위치한 미라몬티풀빌라펜션은 앞뒤로 수려한 산세를 자랑한다. 객실은 독채 펜션 1동과 풀빌라 펜션 3개로/ 독채 펜션은 방 5개/ 화장실 4개로 최대 30명의 단체 숙박객이 머물 수 있다. 앞마당에 전용 야외수영장이 있고 실내 정글짐도 있다. 풀빌라 펜션은 모두 복층 구조로 미온수의 실내 전용 풀장을 갖췄다. 모든 객실에서 취사가 가능하고 개별 바비큐룸/ 스파도 있다. 인근에 남이섬/ 쁘띠프랑스 등이 있다.,건물 3층(대지면적 3/305m²),66,4,양실,가능,가능,15:00,11:00,가능(010-6436-0741/ http://xn--oi2bm4do2ac82d.kr ),http://xn--oi2bm4do2ac82d.kr,불가,없음
베이몬드호텔[한국관광 품질인증/Korea Quality],051-702-0001,부산광역시 해운대구 해운대해변로209번가길 27,베이몬드 호텔은 도보 5~10분 거리에 해운대해수욕장과 해운대역이 있어 접근성이 뛰어나 인기가 좋다. 객실은 총 6개로 스탠다드/ 디럭스/ 스위트 등 다양하고/ 모든 객실에 라지 킹 사이즈 침대를 두어 편안한 잠자리를 선사한다. 일부 객실에서는 해운대의 전경을 만끽할 수 있다. 호텔 꼭대기에 자리한 베이루프탑은 해운대 해수욕장을 내려다보며 수영을 하거나 빈백에서 일광욕을 즐길 수 있어 인기가 좋다. 식사는 호텔 3층 레스토랑에서 할 수 있고/ 셀프세탁실이 있다.,지상 15층,180,67,양실,가능,불가,15:00,11:00,가능(051-702-0001/ http://www.baymond.co.kr/rsrv/step1.php ),http://www.baymond.co.kr/rsrv/step1.php,불가,있음
레몬그라스[한국관광 품질인증/Korea Quality],010-4792-3288/ 010-9073-1301,경기도 양평군 명성길 230,레몬그라스는 경기도 양평 소리산 자락 맑은 계곡에 자리한 복층 구조의 독채 펜션이다. 객실은 5개로 2인~8인용까지 다양하게 구성되어있다. 8인용 레몬밤 객실에는 벽난로와 노래방기기가 있어 별장에 놀러온 듯한 기분을 선사한다. 객실에서 취사가 가능하고/ 전용 실내 바비큐장도 따로 마련되어 있다. 커다란 전면 창으로 아름다운 산자락이 와락 쏟아지는 풍경이 일품이다. 인근에 비발디파크/ 들꽃수목원 등이 있다.,대지 면적 3/930m²,33,5,한실/ 양실,가능,가능,15:00,11:00,가능(010-4792-3288/ http://lemon-gras.com/contents/sub0701.php#3),http://lemon-gras.com/contents/sub0701.php#3,불가,있음
브룩5(BROOK5)[한국관광 품질인증/Korea Quality],010-4451-9390,경기도 가평군 태봉두밀로 162,가평 칼봉산 자락에 위치한 브룩5는 풀빌라/ 키즈룸/ 스탠다드 등 20개의 다양한 객실을 갖춘 대단위 펜션이다. 풀빌라 객실은 5개/ 실내 정글짐과 유아욕조/ 젖병소독기/ 유아변기 등이 있는 키즈룸 객실은 2개가 있다. 객실마다 취사시설과 바비큐룸이 있다. 월풀 욕조 설치 여부는 별도 확인이 필요하다. 성인용/유아용 사계절 미온수 수영장이 있고/ 수영장 옆 카페가 있으며/ 수영장 바로 앞에는 두밀천이 있어 여름 물놀이를 즐기기에 좋다.,건물 지하 1층~지상 2층(대지면적 1/984㎡/ 건평 1/390㎡),67,20,양실,가능,가능,15:00,11:00,가능(010-4451-9390/ http://brook5.com/html/sub6_reser.html ),http://brook5.com/html/sub6_reser.html,불가,있음
프리미엄키즈풀빌라[한국관광 품질인증/Korea Quality],010-6497-0811,경기도 가평군 현등사길 55-233,경기도 가평에 위치한 프리미엄키즈풀빌라는 어린이 가족 여행객에게 어울리는 펜션이다. 객실은 복층 독채 키즈 풀빌라 5개/ 일반 키즈풀빌라가 6개 있다. 객실 안에 미끄럼틀/ 미니 방방/ 정글짐/ 주방놀이/ 실내 승용완구 등이 있고 개별 수영장도 있다. 미온수는 유료로 제공된다. 유아를 위한 젖병 살균기/ 식기세트 등도 구비되어 있다. 실내 취사가 가능하고 바비큐는 개별 바비큐장을 이용한다. 인근에 운악산/ 아침고요수목원 등이 있다.,대지면적 1503m²,76,11,한실/ 양실,가능,가능,15:00,11:00,가능(031-581-1185/ http://premiumpv.co.kr/html/reserve.php?cate=01 ),http://premiumpv.co.kr/html/reserve.php?cate=01,불가,없음
봉화정자문화생활관[한국관광 품질인증/Korea Quality],054-679-6963,경상북도 봉화군 부랭이길 88 봉화군시설관리사업소정자문화생활관,경북 봉화군 외삼리에 위치한 봉화정자문화생활관은 누각과 정자를 테마로 한 관광지로/ 숙박시설 솔향촌에 머물며 누정문화를 몸소 체험해 볼 수 있다. 숙박 형태는 펜션형과 숙박형으로 나뉘고 예약은 봉화군 체육시설사업소 홈페이지에서만 가능하다. 생활관 내 누정 전시관/ 야외 정자 정원/ 누정 쉼터와 마당 등도 이용할 수 있다. 인근에 창평 산림욕장과 다덕약수관광지/ 문수산 자연휴양림 등의 관광지가 있다.,대지면적 463.95m²,80,10,한실,가능,부분가능,14:00,11:00,가능(054-679-6966~7/ http://bonghwa.go.kr/open.content/facility/culture.living/reservation/reservation),http://bonghwa.go.kr/open.content/facility/culture.living/reservation/reservation,불가,있음
청도굿스파키즈풀빌라[한국관광 품질인증/Korea Quality],010-6487-8311,경상북도 청도군 대전칠엽신길 82-60,경북 청도군에 자리한 청도굿스파키즈풀빌라는 27개의 객실을 갖춘 대단위 복층 펜션이다. A302호를 제외한 모든 객실에 실내 정글짐과 온천수를 사용하는 수영장이 있다. A302호에만 수영장 대신 월풀욕조를 놓아 스파를 즐길 수 있다. 모든 객실에서 취사가 가능하고 개별테라스에서 바비큐도 할 수 있다. 공영 수영장에도 온천수를 사용해 쌀쌀한 날씨에도 따듯하게 수영을 즐기 수 있다. 인근에 청도 루지/ 프로방스/ 레일바이크 등이 있다.,지상3층/ 대지 면적 4/552m²/ 건물 면적 4181m²,170,27,양실,가능,가능,15:00,11:00,가능(02-899-7475/ 054-996-9866/ http://goodspakids.kr/reservation/ ),http://goodspakids.kr/reservation/,불가,있음
더포트호텔[한국관광 품질인증/Korea Quality],051-936-1123,부산광역시 동구 중앙대로180번길 16-8,부산역과 부산 국제터미널을 도보로 이용할 수 있는 더포트호텔은 부산항이 보이는 바다전망과 깔끔한 시설을 갖추었다. 공항리무진버스 정류장도 가까워 김해국제공항까지 편리하게 오갈 수 있다. 객실은 디럭스/ 스탠더드/ 비즈니스/ 스위트 등 다양한 타입을 구비하고 있다. 객실마다 냉장고/ 전기레인지 등이 있고/ 식기는 대여할 수 있다. 조식 패키지를 예약하면 한식 뷔페를 이용할 수 있다. 세탁실은 무료 이용이 가능하다.,건물 지하 1층~지상 10층,34,80,양실,가능,가능,16:00,12:00,가능(051-936-1123/ https://oreumhotel.modoo.at/?link=499dqdgp ),https://oreumhotel.modoo.at/?link=499dqdgp,불가,있음
루민북촌[한국관광 품질인증/Korea Quality],070-8098-4497,서울특별시 종로구 북촌로11길 13-12,루미북촌은 서울 가회동 북촌한옥마을 인근 주택가에 있는 독채 한옥 숙소로/ 7평이라 크지 않지만 2인이 머물기에 충분하다. 발뮤다 토스터기와 인덕션 등을 갖춘 주방과 샤워가 가능한 화장실/ 빔프로젝터를 갖춘 침실까지 어느 것 하나 불편함이 없도록 준비돼 있다. 아로마 브랜드의 어메니티와 숙소 근처 유명 카페의 드립백 커피 등도 비치되어 있고 세탁기 이용도 가능하다. 인근에 고궁/ 인사동/ 한옥마을 등 주요 관광지가 있다.,건물면적 23.14m²,2,1,양실,불가,가능,16:00,12:00,가능(070-8098-4497),https://airbnb.com/h/roominbukchon,불가,없음
고유한관광농원펜션[한국관광 품질인증/Korea Quality],010-2615-1003,전라남도 고흥군 연강예회길 299-8,전남 고흥군 두원면 위치한 고유한관광농원펜션은 유자 농원 안에 위치한 체험형 숙박시설이다. 유자 숲에 알록달록한 둥근 모양의 독특한 펜션 건물이 들어앉은 모습은 마치 동화책 속 한 페이지처럼 예쁘다. 객실은 총 5개로 객실마다 화장실과 주방이 딸려 있다. 돔하우스는 이곳의 시그니처 숙소다. 바비큐는 앞마당에서 할 수 있고/ 유자체험전시장에서는 농장견학/ 유자차 및 석류차 만들기/ 유자피자만들기 등을 체험할 수 있다. 걸어서 5분 거리에 해수욕장이 있다.,대지면적 436m²,28,5,양실,가능,가능,15:00,11:00,가능(061-835-1700),http://gouhan.kr/sub.php?PID=0402&idx=4,불가,없음
스테리나잇 제주[한국관광 품질인증/Korea Quality],010-2419-0578,제주특별자치도 제주시 애월로 37,한담해변이 내려다보이는 제주도 애월에 위치한 스테리나잇은 모든 객실에서 바다 조망이 가능하다. 1층에 음식점과 편의점이 있고 2층/ 3층에 객실이 있다. 객실은 총 9개로/ 2인 커플룸인 베이직/ 2인~4인이 머물 수 있는 클래식/ 4인~8인이 머물 수 있는 스위트로 구성되어 있다. 모든 객실에서 취사가 가능하다. 푸른 제주의 모습이 전면 통창에 한가득 담기는 것이 이곳의 큰 매력이다. 인근에 곽지과물해수욕장/ 애월카페거리 등이 있다.,건물 지상 2층,22,9,양실,가능,가능,16:00,11:00,가능(010-2419-0578/ http://blue-sunset.co.kr ),http://blue-sunset.co.kr,불가,없음
쿠지홀리데이[한국관광 품질인증/Korea Quality],010-5347-8733,제주특별자치도 서귀포시 난산로 100,쿠지홀리데이는 제주 섭지코지 인근에 위치한 프라이빗 풀빌라펜션으로/ 하루에 딱 한 팀만 이용할 수 있게 예약을 받고 있다. 숙소 1층에는 온돌룸과 화장실이/ 2층에는 침실 2개와 거실/ 화장실 3개가 있다. 객실은 총 5개의 형태로 운영되는데/ 쿠지 A타입은 1/ 2층 전체/ B타입은 2층 전체 공간/ E타입은 1층 전체 공간/ C와 D타입은 2층 일부를 나눠서 사용한다. 만화 책장/ 플레이스테이션 VR 게임기/ 세탁기/ 취사시설과 야외수영장과 바비큐장/ 노래방 기기도 있다. 무료 조식을 제공한다.,대지 면적 2/644.m²/ 건평 247m²,14,5,양실,가능,가능,16:00,11:00,가능(010-5347-8733/ http://coogeeholiday.com/include/reservation.php?biz_code=P202007019&tab=2 ),http://coogeeholiday.com/include/reservation.php?biz_code=P202007019&tab=2,불가,있음
메리머드호텔[한국관광 품질인증/Korea Quality],041-933-3366,충청남도 보령시 해수욕장8길 52,메리머드호텔은 대천해수욕장 바로 앞에 위치한 2성급 신축호텔로/ 전 객실 테라스에서 탁 트인 바다를 볼 수 있어 개방감이 일품이다. 객실은 총 44개로 슈페리어부터 펜트하우스까지 다양한 타입이 있어 선택의 폭이 넓다. 패밀리스위트룸은 침실과 거실이 분리되어 있고/ 펜트하우스는 방과 화장실이 각각 두개고 별도의 거실이 있는 구조다. 부대시설로 조식뷔페와 카페테리아/ 커피숍/ 베이커리/ 야경을 감상하기에 좋은 루프탑가든이 있다.,건물 지하 1층~지상 9층,100,44,양실,가능,불가,15:00,11:00,가능(041-933-3362/ https://merrymudhotel.modoo.at ),https://merrymudhotel.modoo.at,가능,있음
엽연초하우스[한국관광 품질인증/Korea Quality],043-920-2217,충청북도 제천시 의병대로12길 8,엽연초하우스는 충북 제천 시내에 위치한 게스트하우스로/ 접근성이 좋고 가성비가 높은 숙소다. 1층은 카페고 2층은 침실/ 온실 등 총 8개의 객실로 구성되어 있다. 방마다 개별 욕실과 화장실을 갖춰 편의성을 높였고/ 취사는 불가하지만 1층 카페에서 조식을 제공한다. 단/ 유튜브에서 엽연초하우스를 구독한 경우에는 무료다. 건물 앞에 넓은 공원이 있고 옆에는 근대 문화 향기가 물씬 풍기는 제천 엽연초 수납 취급소와 제천 엽연초 생산조합 구사옥이 자리한다.,지상 2층(건평 386.2m²),30,8,양실,가능,불가,15:00,11:00,가능(043-920-2217/ https://booking.naver.com/booking/3/bizes/509927),https://booking.naver.com/booking/3/bizes/509927,불가,있음
그레이193호텔[한국관광 품질인증/Korea Quality],010-6740-8889,부산광역시 수영구 광안해변로278번길 42 오션브릿지B동 5층/ 6층,그레이193 호텔은 부산 광안리 해수욕장 도보 1분 거리에 위치하고 있다. 슈페리어/ 디럭스/ 패밀리/ 오션 타입 등 총 25개의 객실을 보유하고 있다. 쾌적한 투숙을 위해 호텔 전체에 세스코 바이러스 케어 시스템을 설치했고 각 객실 내부에 공기청정기를 구비하고 있다. 인근에 민락회센터/ 민락수변공원/ 벡스코/ 해운대 요트경기장 등이 있어 즐기기에 좋다.,지상 5~6층,60,25,양실,가능,불가,17:00,12:00,가능(063-445-7585/ https://gray193.modoo.at/?link=dj2nebfi),https://gray193.modoo.at/?link=dj2nebfi,불가,있음
아담하우스,nan,강원특별자치도 양양군 강현면 주청2길 17,"쉼표와 힐링이 있는 곳/ 낙산사와 낙산해수욕장에 위치한 ""아담하우스""를 찾아주셔서 감사하다. 아담하우스는 여러분의 소중한 친구로 남고 싶다. 청결함과 친절함으로 모시겠다. 소중한 사람들/ 가족들 그리고 반려견과 함게 즐거운 추억 남기고 가시길 바라겠다.",nan,nan,nan,nan,nan,nan,15:00,다음날 11:00,nan,nan,nan,nan
숲속의집,nan,강원특별자치도 양양군 현북면 어성전길 402,숲 속의 집은 양양 어성전 계곡 바로 앞/ 하조대 해수욕장에서 차로 15분 거리에 위치한다. 객실 별도 운영하며 개별 주차장 있다. 깨끗한 공기와 계곡이 있는 숲 속의 집에서 사랑하는 사람들/ 가족들 그리고 반려견과 즐거운 추억 만드시길 바란다.,nan,nan,nan,nan,객실 당 1대,nan,15:00,다음날 11:30,nan,nan,nan,nan
몬띠마르펜션,nan,강원특별자치도 양양군 강현면 진미로 510-36,물치/ 정암 해수욕장에서 자동차로 5분 거리(5km)에 위치한 양양의 몬띠마르 펜션에 오신 것을 환영한다. 몬띠마르는 전객실에 반려견 용품이 있는 반려견 펜션으로 모든 객실에서 먼 동해바다를 감상할 수 있다. 다양한 부대시설과 서비스가 있는 곳/ 몬띠마르에서 아름다운 도시 양양을 만끽해 보시길 바란다.,nan,nan,nan,nan,nan,nan,15:00,다음날 11:00,nan,nan,nan,nan
